epoch,loss,accuracy,precision,recall,f1
1,2.5747459513800486,0.10189732142857143,0.0988146309579135,0.10189732142857143,0.09264602200691831
2,2.456007984706334,0.15189732142857143,0.13150299946973046,0.15189732142857143,0.12294176474370808
3,2.3815502745764596,0.16964285714285715,0.14943530678122624,0.16964285714285715,0.1392860808935595
4,2.3106750317982265,0.19118303571428572,0.17394743088560385,0.19118303571428572,0.16409374698367232
5,2.240604727608817,0.20011160714285714,0.176760577950142,0.20011160714285714,0.17522117765149114
6,2.179802048206329,0.20970982142857142,0.1900268032192375,0.20970982142857142,0.19185969497679864
7,2.1533598014286586,0.2236607142857143,0.20669500428962104,0.2236607142857143,0.2055785687795576
8,2.080001139640808,0.23805803571428572,0.22452749523470647,0.23805803571428572,0.22434318149130664
9,2.0489217809268405,0.2453125,0.23045658200619507,0.2453125,0.2324261658168626
10,1.986787440095629,0.2693080357142857,0.2568781833629859,0.2693080357142857,0.25795475023075726
11,1.9778312853404454,0.27332589285714287,0.2591942694747386,0.27332589285714287,0.25795627527781156
12,1.9319293481963022,0.290625,0.27708858491977245,0.290625,0.27516060688643756
13,1.935768507208143,0.29966517857142855,0.2838988505525027,0.29966517857142855,0.285194843647563
14,1.862660915510995,0.3166294642857143,0.29942253232375976,0.3166294642857143,0.29680811215721414
15,1.830519882270268,0.3220982142857143,0.30642645045308875,0.3220982142857143,0.30730061845040385
16,1.7899574484143939,0.33939732142857143,0.3214050185335511,0.33939732142857143,0.32171060218809944
17,1.783440773827689,0.3470982142857143,0.3287935241308652,0.3470982142857143,0.33043833149284935
18,1.7895992108753749,0.35200892857142857,0.3324320832493788,0.35200892857142857,0.33174775479190527
19,1.7444715261459351,0.36372767857142857,0.3459203919719575,0.36372767857142857,0.34393519431954694
20,1.743473790373121,0.36752232142857144,0.34881522421982886,0.36752232142857144,0.35139719623089843
21,1.7109318920544216,0.37209821428571427,0.35235834047762693,0.37209821428571427,0.35347487538983086
22,1.6768062744821821,0.38448660714285715,0.36875994637227,0.38448660714285715,0.36853659353503243
23,1.6745934809957232,0.3899553571428571,0.37334579027960174,0.3899553571428571,0.3744432799236657
24,1.6525613818849836,0.40011160714285715,0.38489981892701547,0.40011160714285715,0.3832957835336513
25,1.6757053170885359,0.39408482142857143,0.3746876287732197,0.39408482142857143,0.37648438658597455
26,1.65403870173863,0.3950892857142857,0.37630803509195204,0.3950892857142857,0.37859799565049096
27,1.6104749304907662,0.415625,0.39555054651751764,0.415625,0.39820830045663497
28,1.601069508280073,0.41629464285714285,0.4027174571373886,0.41629464285714285,0.4028249241778381
29,1.5846498114722116,0.42566964285714287,0.40927254200258767,0.42566964285714287,0.4092003714293614
30,1.5530048319271632,0.4387276785714286,0.42578313205067275,0.4387276785714286,0.4267550271369528
31,1.5756798880440848,0.4265625,0.4125791284724705,0.4265625,0.4118481522874591
32,1.5655093022755213,0.43448660714285714,0.4186995605488551,0.43448660714285714,0.42114763252466053
33,1.5403422508920943,0.43671875,0.42438805336109225,0.43671875,0.42538600193202497
34,1.5314600041934423,0.44363839285714285,0.430022704226493,0.44363839285714285,0.43145219332077955
35,1.5286742908614022,0.4497767857142857,0.43937146587873727,0.4497767857142857,0.4380509066834562
36,1.520150899887085,0.45357142857142857,0.44169816262848466,0.45357142857142857,0.4427877290627941
37,1.4977344802447727,0.4588169642857143,0.4473334505662113,0.4588169642857143,0.4499421951299931
38,1.4896027088165282,0.4627232142857143,0.451826411103362,0.4627232142857143,0.4522592834972873
39,1.4708106415612356,0.4706473214285714,0.4623271047217234,0.4706473214285714,0.4612230242710166
40,1.476179894379207,0.4668526785714286,0.4574768519091622,0.4668526785714286,0.45825652259592736
41,1.4664444974490574,0.4699776785714286,0.45933818046285413,0.4699776785714286,0.4612338325224007
42,1.4633838261876788,0.4784598214285714,0.4695597952410722,0.4784598214285714,0.47090102163458375
43,1.4785609824316843,0.47276785714285713,0.46174976260573247,0.47276785714285713,0.4641694873816988
44,1.4259478194372994,0.4895089285714286,0.4802193662392367,0.4895089285714286,0.4811391516212938
45,1.4235801083700999,0.4850446428571429,0.47560139199390433,0.4850446428571429,0.4770684253078717
46,1.4360266838754927,0.49118303571428573,0.48074887553806267,0.49118303571428573,0.48214295254120915
47,1.4257493955748421,0.48683035714285716,0.47778968648390074,0.48683035714285716,0.48023769510551567
48,1.39407388482775,0.5026785714285714,0.4956730310795933,0.5026785714285714,0.49638961228779693
49,1.4185213821274893,0.49107142857142855,0.48343127351558846,0.49107142857142855,0.48469174486760525
50,1.3934731789997645,0.5014508928571428,0.49293075596218744,0.5014508928571428,0.4947735466376096
51,1.3776079160826546,0.5129464285714286,0.5060592304360718,0.5129464285714286,0.5068809284978658
52,1.3721657855170113,0.5112723214285714,0.504960175106169,0.5112723214285714,0.5064740588642086
53,1.3515825033187867,0.5102678571428572,0.5035398777533772,0.5102678571428572,0.5042352466889404
54,1.3505675435066222,0.5199776785714286,0.5154408156539586,0.5199776785714286,0.5158940055278165
55,1.3424147248268128,0.5229910714285714,0.5168709540800676,0.5229910714285714,0.5182409904881647
56,1.3566462448665073,0.5099330357142857,0.5035419099374301,0.5099330357142857,0.5048028388100608
57,1.347835842200688,0.5166294642857143,0.5104729888711055,0.5166294642857143,0.5116152282300958
58,1.3243469936507088,0.5255580357142857,0.5222235891057305,0.5255580357142857,0.5224572476525398
59,1.3107097727911814,0.5282366071428571,0.5242052153215735,0.5282366071428571,0.5249402438435825
60,1.3295956679752894,0.5204241071428571,0.5156081746369511,0.5204241071428571,0.5158656838896388
